sku,vendor,title,super_category,primary_category,product_category_type,collection_name,material,colour_finish,width_mm,depth_mm,height_mm,installation_type,warranty_years,weight_kg,confidence
MUSC4380,ADP,ADP Muse Mirrored Shaving Cabinet - MUSC4380,Accessories,Bathroom Accessories,Shaving Cabinet,Muse,mirrored,mirrored,380,150,680,,,,0.6375000000000001
PLSC4590,ADP,ADP Pill Mirrored Shaving Cabinet - PLSC4590,Accessories,Bathroom Accessories,Wall Mounted,ADP Pill,stainless steel,Mirror,450,120,900,wall mounted,,,0.6428571428571427
RDSC0800-2D,ADP,ADP Round Mirror Shaving Cabinet - RDSC0800-2D,Accessories,Bathroom Accessories,Mirror Cabinet,ADP,stainless steel,Polished Chrome,800,170,600,,,,0.6875
PWMMUSHBB,ADP,ADP Universal Plug & Waste - Brushed Brass - PWMMUSHBB,Accessories,Bathroom Accessories,Plug & Waste,N/A,brass,,60,60,40,N/A,1,,0.6357142857142856
PWMMUSHBCO,ADP,ADP Universal Plug & Waste - Brushed Copper - PWMMUSHBCO,Accessories,Bathroom Accessories,Floor Drain Plug,None,brass,,63,63,54,Floor Drain Plug,1,0.26,0.6545454545454544
PWMMUSHNK,ADP,ADP Universal Plug & Waste - Brushed Nickel - PWMMUSHNK,Accessories,Bathroom Accessories,Countertop,Universal,brass,Brushed Nickel,55,55,12,countertop,,,0.65
PWMMUSHBC,ADP,ADP Universal Plug & Waste - Chrome - PWMMUSHBC,Accessories,Bathroom Accessories,Countertop,ADP Universal,brass,Chrome,50,50,45,,,,0.675
PWMMUSHGW,ADP,ADP Universal Plug & Waste - Gloss White - PWMMUSHGW,Accessories,Bathroom Accessories,Countertop,,plastic,Gloss White,50,80,50,countertop,99,0.2,0.6499999999999999
PWMMUSHMB,ADP,ADP Universal Plug & Waste - Matte Black - PWMMUSHMB,Accessories,Bathroom Accessories,Bench Mount,ADP Universal,brass,Matte Black,45,45,40,Bench Mount,10,0.2,0.6416666666666666
PWMMUSHMW,ADP,ADP Universal Plug & Waste - Matte White - PWMMUSHMW,Accessories,Bathroom Accessories,Countertop,ADP Universal Plug & Waste,abs,Matte White,70,78,40,Countertop,5,0.2,0.6727272727272727
WDU-3ASAU,Abey,Abey Enviro-Green Waste Machine 3/4 HP Built-in Air Switch - WDU-3ASAU,Accessories,Bathroom Accessories,Built-in,Enviro-Green,N/A,N/A,,,,Built-in,,,0.5909090909090907
MBTK05,Abey,Abey Schock Overflow Trim Kit - Matte Black MBTK05,Accessories,Bathroom Accessories,Trim Kit,Schock,matte black,Matte Black,,,,,,,0.6199999999999999
MBTK05D,Abey,Abey Schock Overflow Trim Kit - Matte Black MBTK05D,Accessories,Bathroom Accessories,,None,matte black,matte black,,,,,,,0.6090909090909089
MBTK06,Abey,Abey Schock Overflow Trim Kit - Matte Black MBTK06,Accessories,Bathroom Accessories,,None,matte black,Matte Black,,,,,,,0.6090909090909089
MBTK13,Abey,Abey Schock Overflow Trim Kit - Matte Black MBTK13,Accessories,Bathroom Accessories,,None,matte black,matte black,,,,,,,0.6090909090909089
DR007,Abey,Abey Stainless Steel Dish Rack DR007,Accessories,Bathroom Accessories,,None,stainless steel,,,,,,,,0.618181818181818
LDTR-B,Abey,Gareth Ashton Double Towel Rail 760mm - Black - LDTR-B,Accessories,Bathroom Accessories,,,,,,,,,,,0.575
LDTR,Abey,Gareth Ashton Double Towel Rail 760mm Chrome - LDTR,Accessories,Bathroom Accessories,,,,,,,,,,,0.635
LRH,Abey,Gareth Ashton Park Avenue Robe Hook Chrome - LRH,Accessories,Bathroom Accessories,,,,,,,,,,,0.532
LTRH-B,Abey,Gareth Ashton Park Avenue Toilet Roll Holder - Black - LTRH-B,Accessories,Bathroom Accessories,,,,,,,,,,,0.496
LTRH,Abey,Gareth Ashton Park Avenue Toilet Roll Holder - LTRH,Accessories,Bathroom Accessories,Wall Mounted,Park Avenue,brass,Chrome,155,125,40,,1,,0.6777777777777777
PDTR-B,Abey,Gareth Ashton Poco Double Towel Rail 760mm - Black - PDTR-B,Accessories,Bathroom Accessories,,,,,,,,,,,0.572
PDTR-BN,Abey,Gareth Ashton Poco Double Towel Rail 760mm - Brushed Nickel - PDTR-BN,Accessories,Bathroom Accessories,,,,,,,,,,,0.56
PDTR-GM,Abey,Gareth Ashton Poco Double Towel Rail 760mm - Gun Metal - PDTR-GM,Accessories,Bathroom Accessories,,,,,,,,,,,0.547
PDTR,Abey,Gareth Ashton Poco Double Towel Rail 760mm Chrome - PDTR,Accessories,Bathroom Accessories,,,,,,,,,,,0.624
PTRH-BN,Abey,Gareth Ashton Poco Toilet Roll Holder - Brushed Nickel - PTRH-BN,Accessories,Bathroom Accessories,,,,,,,,,,,0.496
PTRH-GM,Abey,Gareth Ashton Poco Toilet Roll Holder - Gun Metal - PTRH-GM,Accessories,Bathroom Accessories,,,,,,,,,,,0.485
