sku,vendor,shopify_title,product_id,field,proposed_value,confidence,source,issues
1306,Abey,Gareth Ashton Vicenza Natural Stone Basin - Gloss White,6770819366956,material,Stone,0.50,tag,
17051B,Abey,Gessi Emporio Kitchen Mixer – Black,6921060319276,installation_type,Hob Mounted Taps,0.60,tag,
1B1-B,Abey,Gareth Ashton Park Avenue Basin Mixer - Black - 1B1-B,6770773458988,installation_type,Hob Mounted Taps,0.60,tag,
1B2,Abey,Gareth Ashton Park Avenue High Basin Mixer - Chrome - 1B2,6770255659052,installation_type,Hob Mounted Taps,0.60,tag,
1ISX100L,Abey,Abey Barazza Select 100 Left Hand Single Bowl Topmount Sink with Drainer - Stainless Steel - 1ISX100L,7675414183980,colour_finish,Stainless Steel,0.20,tag,material_as_colour
1ISX100R,Abey,Abey Barazza Select 100 Right Hand Single Bowl Topmount Sink with Drainer - Stainless Steel - 1ISX100R,7675416150060,colour_finish,Stainless Steel,0.20,tag,material_as_colour
1ISX120L,Abey,Abey Barazza Select 120 Left Hand 1 & 3/4 Bowl Topmount Sink with Drainer - Stainless Steel - 1ISX120L,7675417428012,colour_finish,Stainless Steel,0.20,tag,material_as_colour
1ISX120R,Abey,Abey Barazza Select 120 Right Hand 1 & 3/4 Bowl Topmount Sink with Drainer - Stainless Steel - 1ISX120R,7675419721772,colour_finish,Stainless Steel,0.20,tag,material_as_colour
1SH-EXT + SH-INT,Abey,Gareth Ashton Park Avenue Shower-Bath Mixer - Chrome - 1SH-EXT + SH-INT,6770255462444,installation_type,Hob Mounted Taps,0.60,tag,
1X3440I,Abey,Abey Barazza R15 Single Bowl 1X3440I,6921062383660,colour_finish,Stainless Steel,0.20,tag,material_as_colour
1X4540I,Abey,Abey Barazza R15 Single Bowl - 1X4540I,6770860163116,colour_finish,Stainless Steel,0.20,tag,material_as_colour
1X7040I,Abey,Abey Barazza R15 Large Bowl - 1X7040I,6921062416428,colour_finish,Stainless Steel,0.20,tag,material_as_colour
1X842I,Abey,Abey Barazza R15 Double Bowl 1X842I,6921062449196,colour_finish,Stainless Steel,0.20,tag,material_as_colour
1X942I,Abey,Abey Barazza R15 1 & 3/4 Bowl Sink - 1X942I,6921062481964,colour_finish,Stainless Steel,0.20,tag,material_as_colour
2050BR,Abey,Armando Vicario Provincial Single lever kitchen mixer – Bronze - 2050BR,6921053372460,colour_finish,Bronze,0.60,tag,
2050BR,Abey,Armando Vicario Provincial Single lever kitchen mixer – Bronze - 2050BR,6921053372460,installation_type,Hob Mounted Taps,0.60,tag,
21123,Abey,Gareth Ashton Florenza 1828mm ClearStone Freestanding Bath - Gloss White - 21123,6894024818732,material,Stone,0.50,tag,
21128,Abey,Gareth Ashton Byron 1690mm Freestanding Stone Bath With Overflow - Gloss White - 21128,7019817959468,material,Stone,0.50,tag,
21128,Abey,Gareth Ashton Byron 1690mm Freestanding Stone Bath With Overflow - Gloss White - 21128,7019817959468,colour_finish,White,0.65,tag,duplicate_tags:2
2150C,Abey,Armando Vicario Provincial Single Lever Basin Mixer - Chrome - 2150C,6770483134508,installation_type,Hob Mounted Taps,0.60,tag,
