vendor_name,sitemap_url,total_urls,product_urls,other_urls,new_urls,status
Parisi,https://parisi.com.au/sitemap.xml,2405,1941,464,0,ok
Rifco,https://www.rifco.com.au/sitemap.xml,120,109,11,0,ok
Fienza,https://fienza.com.au/sitemap.xml,19763,7943,11820,0,ok
Phoenix Tapware,https://www.phoenixtapware.com.au/sitemap.xml,3074,1010,2064,0,ok
Nero Tapware,https://nerotapware.com.au/sitemap.xml,15,0,15,0,ok
Timberline,https://timberline.com.au/sitemap.xml,273,215,58,265,ok
Gessi,https://www.gessi.com/sitemap.xml,2136,0,2136,2130,ok
Argent,https://www.argentaust.com.au/sitemap.xml,2054,189,1865,2054,ok
Velux,https://www.velux.com.au/sitemap.xml,101,20,81,101,ok
Avenir,https://avenirdesign.com/sitemap.xml,164,132,32,164,ok
Cassa Design,https://www.cassadesign.com.au/sitemap.xml,102,92,10,102,ok
Oliveri,https://oliveri.com.au/sitemap.xml,547,431,116,547,ok
Verotti,https://verotti.com/sitemap.xml,4325,3090,1235,4325,ok
Greens,https://greenstapware.com.au/sitemap.xml,277,175,102,277,ok
Gareth Ashton,https://www.abey.com.au/sitemap.xml,7582,648,6934,7580,ok
Brodware,https://brodware.com/sitemap.xml,1394,1154,240,1394,ok
Kaldewei,https://www.kaldewei.com/sitemap.xml,1195,172,1023,1174,ok
Turner Hastings,https://www.turnerhastings.com.au/sitemap.xml,80,0,80,80,ok
ADP,https://www.adpaustralia.com.au/sitemap.xml,699,0,699,699,ok
Zip,https://www.zipwater.com/sitemap.xml,4947,1483,3464,4946,ok
Abey,https://www.abey.com.au/sitemap.xml,7582,648,6934,7580,ok
Lauxes,https://lauxesgrates.com.au/sitemap.xml,123,2,121,123,ok
Pietra Bianca,https://pietrabianca.com.au/sitemap.xml,161,1,160,161,ok
Duravit,https://duravit.com.au/sitemap.xml,191,17,174,191,ok
Globo,https://www.ceramicaglobo.com/sitemap.xml,2718,7,2711,2716,ok
Sussex,https://sussextaps.com.au/sitemap.xml,551,448,103,551,ok
Decina,https://decina.com/sitemap.xml,1,0,1,1,ok
Victoria + Albert,https://vandabaths.com/sitemap.xml,2279,0,2279,2279,ok
Euro Appliances,https://www.euroappliances.au/sitemap.xml,310,104,206,310,ok
Billi,https://www.billi.com.au/sitemap.xml,1314,660,654,1313,ok
Marquis,https://marquis.com/sitemap.xml,143,9,134,142,ok
Bathroom Butler,https://www.bathroombutler.com/sitemap.xml,151,0,151,151,ok
Bespoke,https://www.bespoke.com.au/sitemap.xml,5,0,5,5,ok
Rinnai,https://www.rinnai.com.au/sitemap.xml,2206,2,2204,2206,ok
Armando Vicario,https://www.abey.com.au/sitemap.xml,7582,648,6934,7580,ok
Newform,https://newform.com.au/sitemap.xml,1,0,1,1,ok
Shaws,https://www.shawsofdarwen.com/sitemap.xml,329,0,329,329,ok
