id,sku,title,vendor,product_type,super_category,primary_category,product_category_type,collection_name,colour_finish,material,grade_of_material,style,installation_type,application_location,handle_type,handle_count,product_range,overall_width_mm,overall_depth_mm,overall_height_mm,overall_length_mm,weight_kg,flow_rate_lpm,water_pressure_min_kpa,water_pressure_max_kpa,tap_hole_size_mm,wels_rating,is_lead_free,lead_free_compliance,warranty_years,warranty_url,product_url
224,MB1,"Abey MixMaster 35mm Cast Basin Mixer MB1 - Chrome",Abey,,Tapware,"Basin Tapware","Basin Mixer",MixMaster,Chrome,"Solid Brass",,Contemporary,"Hob Mounted",Bathroom,"Single Lever",1,Mixmaster,35,,,,,7.5,,,35,4,0,,5,https://www.abey.com.au/warranty/,https://www.abey.com.au/product/tapware/bathroom-basin-mixers/mixmaster-35mm-cast-basin-mixer/
227,MB2,"Abey MixMaster Cast Basin Mixer - Chrome - MB2",Abey,,Tapware,"Basin Tapware","Basin Mixer",MixMaster,Chrome,"Solid Brass",,Contemporary,"Hob Mounted",Bathroom,"Single Lever",1,Mixmaster,110,150,160,,1.8,9.0,150,150,35,4,0,,5,https://www.abey.com.au/warranty/,https://www.abey.com.au/product/tapware/bathroom-basin-mixers/mixmaster-cast-basin-mixer/
228,MB2-D,"Abey MixMaster Disabled Cast Basin Mixer - Chrome - MB2-D",Abey,,Tapware,"Basin Tapware","Basin Mixer",,Chrome,,,,"Hob Mounted",,,,,,,,,,,,,,4,0,,5,https://www.abey.com.au/warranty/,
1365,AX01310.MB,"Arcisan  Axus Pin Lever Basin Mixer - Matte Black - AX01310.MB",Arcisan,,Tapware,"Basin Tapware","Basin Mixer",,"Matte Black",,,,"Hob Mounted",,,,,,,,,,,,,,5,0,,15,https://www.streamlineproducts.com.au/brands/arcisan,
1399,AX01310.BB,"Arcisan Axus Pin Lever Basin Mixer - Brushed Brass PVD - AX01310.BB",Arcisan,,Tapware,"Basin Tapware","Basin Mixer",,Brass,,,,"Hob Mounted",,,,,,,,,,,,,,5,0,,15,https://www.streamlineproducts.com.au/brands/arcisan,
1400,AX01310.GM,"Arcisan Axus Pin Lever Basin Mixer - Brushed Gun Metal - AX01310.GM",Arcisan,,Tapware,"Basin Tapware","Basin Mixer",,Gunmetal,,,,"Hob Mounted",,,,,,,,,,,,,,5,0,,15,https://www.streamlineproducts.com.au/brands/arcisan,
1401,AX01310.SN,"Arcisan Axus Pin Lever Basin Mixer - Brushed Nickel - AX01310.SN",Arcisan,,Tapware,"Basin Tapware","Basin Mixer",,"Brushed Nickel",,,,"Hob Mounted",,,,,,,,,,,,,,5,0,,15,https://www.streamlineproducts.com.au/brands/arcisan,
1402,AX01310.RG1,"Arcisan Axus Pin Lever Basin Mixer - Brushed Rose Gold PVD - AX01310.RG1",Arcisan,,Tapware,"Basin Tapware","Basin Mixer",,Gold,,,,"Hob Mounted",,,,,,,,,,,,,,5,0,,15,https://www.streamlineproducts.com.au/brands/arcisan,
1403,AX01310,"Arcisan Axus Pin Lever Basin Mixer - Chrome - AX01310",Arcisan,,Tapware,"Basin Tapware","Basin Mixer",,Chrome,,,,"Hob Mounted",,,,,,,,,,,,,,5,0,,15,https://www.streamlineproducts.com.au/brands/arcisan,
1404,AX01310.RG,"Arcisan Axus Pin Lever Basin Mixer - Rose Gold PVD - AX01310.RG",Arcisan,,Tapware,"Basin Tapware","Basin Mixer",,Gold,,,,"Hob Mounted",,,,,,,,,,,,,,5,0,,15,https://www.streamlineproducts.com.au/brands/arcisan,
1405,AX01310.W,"Arcisan Axus Pin Lever Basin Mixer - White - AX01310.W",Arcisan,,Tapware,"Basin Tapware","Basin Mixer",,White,,,,"Hob Mounted",,,,,,,,,,,,,,5,0,,15,https://www.streamlineproducts.com.au/brands/arcisan,
1416,VE012100.BB,"Arcisan Venn Basin Mixer - Brushed Brass PVD - VE012100.BB",Arcisan,,Tapware,"Basin Tapware","Basin Mixer",,Brass,,,,"Hob Mounted",,,,,,,,,,,,,,6,0,,15,https://www.streamlineproducts.com.au/brands/arcisan,
1417,VE012100.GM,"Arcisan Venn Basin Mixer - Brushed Gun Metal PVD - VE012100.GM",Arcisan,,Tapware,"Basin Tapware","Basin Mixer",,Gunmetal,,,,"Hob Mounted",,,,,,,,,,,,,,6,0,,15,https://www.streamlineproducts.com.au/brands/arcisan,
1418,VE012100.SN,"Arcisan Venn Basin Mixer - Brushed Nickel PVD - VE012100.SN",Arcisan,,Tapware,"Basin Tapware","Basin Mixer",,"Brushed Nickel",,,,"Hob Mounted",,,,,,,,,,,,,,6,0,,15,https://www.streamlineproducts.com.au/brands/arcisan,
1419,VE012100.RG1,"Arcisan Venn Basin Mixer - Brushed Rose Gold PVD - VE012100.RG1",Arcisan,,Tapware,"Basin Tapware","Basin Mixer",,Gold,,,,"Hob Mounted",,,,,,,,,,,,,,6,0,,15,https://www.streamlineproducts.com.au/brands/arcisan,
1420,VE012100,"Arcisan Venn Basin Mixer - Chrome - VE012100",Arcisan,,Tapware,"Basin Tapware","Basin Mixer",,Chrome,,,,"Hob Mounted",,,,,,,,,,,,,,6,0,,15,https://www.streamlineproducts.com.au/brands/arcisan,
1421,VE012100.MB,"Arcisan Venn Basin Mixer - Matte Black - VE012100.MB",Arcisan,,Tapware,"Basin Tapware","Basin Mixer",,"Matte Black",,,,"Hob Mounted",,,,,,,,,,,,,,6,0,,15,https://www.streamlineproducts.com.au/brands/arcisan,
1975,B166385,"Argent Grace 2.0 Basin Mixer - LF Brushed Gold - B166385",Argent,,Tapware,"Basin Tapware","Basin Mixer","Grace 2.0","Brushed Gold","Solid Brass",,"Contemporary, Transitional","Hob Mounted","Bathroom, Kitchen, Laundry","Pin lever",1,"Grace 2.0",140,100,160,,1.5,5.0,150,500,1,6,1,1,15,https://www.argentaust.com.au/argent-australia-warranty-information,https://www.argentaust.com.au/villeroy-boch-tapware-basin-mixers-basin-mixers-onovo-style-basin-mixer-brushed-gold
1976,B166380,"Argent Grace 2.0 Basin Mixer - LF Brushed Nickel - B166380",Argent,,Tapware,"Basin Tapware","Basin Mixer",Vita,"Brushed Nickel","Solid Brass",,Contemporary,"Hob Mounted",Bathroom,"Pin lever",1,"Grace 2.0",164,164,110,,2.8,6.0,150,500,35,6,1,1,15,https://www.argentaust.com.au/argent-australia-warranty-information,https://www.argentaust.com.au/villeroy-boch-tapware-basin-mixers-basin-mixers-vita-basin-mixer-brushed-nickel
1977,B166361,"Argent Grace 2.0 Basin Mixer - LF Chrome - B166361",Argent,,Tapware,"Basin Tapware","Basin Mixer","Argent Grace",Chrome,"Solid Brass",,Contemporary,"Hob Mounted",Bathroom,"Pin lever",1,"Grace 2.0",,,,,,4.5,,,,6,1,1,15,https://www.argentaust.com.au/argent-australia-warranty-information,https://www.argentaust.com.au/villeroy-boch-tapware-basin-mixers-basin-mixers-vita-basin-mixer-chrome
1978,B166390,"Argent Grace 2.0 Basin Mixer - LF Gun Metal - B166390",Argent,,Tapware,"Basin Tapware","Basin Mixer","Argent Grace 2.0",Gunmetal,"Solid Brass",,Contemporary,"Hob Mounted",Bathroom,"Pin lever",1,"Grace 2.0",,,,,,4.5,,,,6,1,1,15,https://www.argentaust.com.au/argent-australia-warranty-information,https://www.argentaust.com.au/villeroy-boch-tapware-basin-mixers-basin-mixers-vita-basin-mixer-gun-metal
